name,description,oldprice,price,discount,category,category,promo,url,picture,picture,picture,picture,keywords
"Пуловер Ombre Cable","Раскрасьте Вашу осень с этим ярким свитером Juicy Couture! Сочные оттенки, комфорт и тепло, что еще нужно для осеннего образа?",29990,8997,70%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/pulover-ombre-cable/,https://juicycouture.ru/upload/iblock/dfe/dfe1d1602f8277306832e3796598162f.jpg,https://juicycouture.ru/upload/iblock/08d/08dcdb3f774740762e85cbb0f96151e0.jpg,https://juicycouture.ru/upload/iblock/662/6629bba2b8a8c2905e1d6fa2052c8f14.jpg,,
"Шорты Color Block","Стильные вставки по бокам и контрастный пояс заставят Вас полюбить эту ретро-модель! Для большего комфорта модель регулируется шнурком на поясе. ",11990,4197,65%,"Одежда > Трикотажный костюм",,,https://juicycouture.ru/catalog/womens-clothing/knitted-suit/shorty-color-block/,https://juicycouture.ru/upload/iblock/8a2/8a2f5777eddcafe8833e2dc8c2102d48.jpg,https://juicycouture.ru/upload/iblock/bb3/bb3e34f95e2dde070b23da393e1ed2db.jpg,https://juicycouture.ru/upload/iblock/d60/d607303168f34105ecda60f2084d32cb.jpg,,
"Юбка Bucharest Floral","Роскошная кружевная юбка оживит Ваш образ и дополнит его разнообразием текстур. Экспериментируйте! Создавайте новые комбинации! С чем Вы наденете эту юбку сегодня: провокационные каблуки или элегантные балетки?",21990,7697,65%,"Одежда > Юбки",,,https://juicycouture.ru/catalog/womens-clothing/skirts/yubka-bucharest-floral/,https://juicycouture.ru/upload/iblock/052/052e9100b4f1b973c813df398a04d4e8.jpg,https://juicycouture.ru/upload/iblock/28a/28ac935a80461057fd2b30e6626a2daa.jpg,https://juicycouture.ru/upload/iblock/519/519116ea54659e9c3e10deedba986a39.jpg,,
"Блузка Ponte Embellished","Вы полюбите этот топ с его элегантностью и легкой роскошью. Прямой покрой и лаконичны черный идеально дополнены мерцающими украшениями так, что эта модель станет вашим верным спутником от дня к ночи. ",19990,5997,70%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/bluzka-ponte-embellished/,https://juicycouture.ru/upload/iblock/f00/f004ed73952ddf22b866031169c508d6.jpg,https://juicycouture.ru/upload/iblock/f74/f74b73ab52932461cb81717f6083d92e.jpg,https://juicycouture.ru/upload/iblock/95f/95fab7107bf882b36fcfe68d36e9e42a.jpg,,
"Кардиган Woven Back","Дополните свой образ с крассическим кардиганом от Juicy Couture! Эта модель добавит элегантности и обеспечит комфорт.",29990,10497,65%,"Одежда > Трикотаж",,,https://juicycouture.ru/catalog/womens-clothing/knitwear/kardigan-woven-back/,https://juicycouture.ru/upload/iblock/b4a/b4ab07f778590fce9b10632de8431a56.jpg,https://juicycouture.ru/upload/iblock/294/294828e07797262d80f1d2564d34e864.jpg,https://juicycouture.ru/upload/iblock/b54/b54c46a009d65f460651440bf8a93f38.jpg,,
"Жаккардовый жакет","Этот жаккардовый жакет в стиле милитари станет Вашим фаворитом и добавит образу фирменной роскоши Juicy Couture.",33490,13396,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/zhakkardovyy-zhaket-WFKJ52587/,https://juicycouture.ru/upload/iblock/632/632f5bd9e30d83b0051ec217df641875.jpg,https://juicycouture.ru/upload/iblock/f16/f16fe4b479518b1758f8fda18a4d98e7.jpg,https://juicycouture.ru/upload/iblock/401/401fa3f4149cfbcad893a61f9f28fdff.jpg,,
"Шелковый Комбинезон Seaside Floral","Нежный шелк наполнен красочным цветочным принтом для создания неповторимого образа. Идеален и днём и ночью. Декольте с открытыми плечами, рукава воланами. ",39900,15960,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/shelkovyy-kombinezon-seaside-floral/,https://juicycouture.ru/upload/iblock/f5c/f5c3c77358f8bacdd8947eef1b528ab0.jpg,https://juicycouture.ru/upload/iblock/be8/be887b0298aefd66e8cfcb04376c9a3f.jpg,https://juicycouture.ru/upload/iblock/add/add8c30e9f45064115d2aa5507a6b329.jpg,,
"Юбка с вышивкой Rebel Romance","Юбка с вышивкой ""Мятежная Романтика"" (Rebel Romance). Этот приталенный, А-образный силуэт подчеркнет уникальная, романтичная вышивка с цветочным рисунком. Сочетайте со своими любимыми грубыми ботинками для создания образа в стиле мятежной романтики. ",16835,6734,60%,"Одежда > Юбки",,,https://juicycouture.ru/catalog/womens-clothing/skirts/yubka-s-vyshivkoy-rebel-romance/,https://juicycouture.ru/upload/iblock/f72/f72ebae80437cfa63278029f0e2f6447.jpg,https://juicycouture.ru/upload/iblock/568/568d9298560d9adcfaa88f8d62c486a1.jpg,https://juicycouture.ru/upload/iblock/647/6477ee839dbd4081d912dad1a041d953.jpg,,
"Брелок Text","Данный брелок был создан для людей ""зависимых от телефона"". В комплект входит: разъемное кольцо для ключей в форме сердца, пара символов искрящегося розового и золотого цвета (текст и хеш), шарм корона #JuicyBling. ",6990,3495,50%,"Аксессуары > Аксессуары",,,https://juicycouture.ru/catalog/jewelry-and-accessories/accessories/brelok-text/,https://juicycouture.ru/upload/iblock/bd4/bd432146745663293a83c20064c20415.jpg,,,,
"Куртка Swtr Varsity Jacket With Eagle","Куртка-бомбер с аппликацией на спине ""Золотой орёл"".",36490,14596,60%,"Одежда > Верхняя одежда",,,https://juicycouture.ru/catalog/womens-clothing/outerwear/kurtka-swtr-varsity-jacket-with-eagle/,https://juicycouture.ru/upload/iblock/f98/f982e823b317208792aa9911df17eb1d.jpg,https://juicycouture.ru/upload/iblock/555/5553022e2ac38343ab891ebe43fe295e.jpg,https://juicycouture.ru/upload/iblock/3ec/3ec4ef1905a3aabf9f06870957d5da00.jpg,,
"Куртка Embellished Lace","Наша роскошная коллекция ""Московские ночи"" сочетает богатый текстиль с романтической цветочной отделкой. Цветочный узор в данном жакете выполнен из пайеток золотого и медного цвета. А отделка контрастными пурпурными полосками добавляет современный контраст.",36490,7298,80%,"Одежда > Трикотажный костюм",,,https://juicycouture.ru/catalog/womens-clothing/knitted-suit/kurtka-embellished-lace/,https://juicycouture.ru/upload/iblock/9d8/9d870a5c4e51e1b758163a93599f60c0.jpg,https://juicycouture.ru/upload/iblock/9b5/9b5532c582a9eb0caee841d9564875ab.jpg,https://juicycouture.ru/upload/iblock/76b/76b8627875849fc4f4d7c21b4e33a77a.jpg,,
"Брюки джинсовые Indigo Flare",,18908,7563,60%,"Одежда > Деним",,,https://juicycouture.ru/catalog/womens-clothing/denim/bryuki-dzhinsovye-indigo-flare/,https://juicycouture.ru/upload/iblock/f8b/f8b322ed08670b983d7c0fe7562c7fcd.jpg,https://juicycouture.ru/upload/iblock/56b/56b7b5585fbac317716e1e828834ab9c.jpg,https://juicycouture.ru/upload/iblock/aee/aee2c527eedb2fbbc31de0d5f0041b3b.jpg,,
"Топ Mixed Fabric Emb Applique",,9040,4520,50%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-mixed-fabric-emb-applique/,https://juicycouture.ru/upload/iblock/cfa/cfa33fe532dfdc3755f988a60021ed63.jpg,https://juicycouture.ru/upload/iblock/dcc/dccc71fdf391c256eb986a3a71294a03.jpg,https://juicycouture.ru/upload/iblock/27b/27bc01d8e3b175dcb17df4fc15127e15.jpg,,
"Бюстье Daisy Guipuere","Кружевное бюстье в нежных, нейтральнх тонах подчеркивает сексуальность фигуры.",14640,4392,70%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/byuste-daisy-guipuere/,https://juicycouture.ru/upload/iblock/6b4/6b48740906ddd1dce130fa0b6b7fe4e3.jpg,https://juicycouture.ru/upload/iblock/aec/aecf1717dfc49d2b7fd909ef1b709724.jpg,https://juicycouture.ru/upload/iblock/a46/a464057d832c3169c492e81c93a18695.jpg,,
"Топ Embroidered Cotton W/Lace",,9600,3360,65%,"Одежда > Блузки",,,https://juicycouture.ru/catalog/womens-clothing/blouses/top-embroidered-cotton-w-lace/,https://juicycouture.ru/upload/iblock/e82/e82fda1a2e7091cc740f589ba27baf0f.jpg,https://juicycouture.ru/upload/iblock/a82/a8287f29fa8983fa6875231717a57c18.jpg,https://juicycouture.ru/upload/iblock/4f3/4f32d73fec52710c517a5a5d710c8180.jpg,,
"Платье Darling Buds Washed Silk",,17280,6048,65%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-darling-buds-washed-silk/,https://juicycouture.ru/upload/iblock/a2a/a2ac9a6339f92942ca570b361e43e230.jpg,https://juicycouture.ru/upload/iblock/ad4/ad4f893cbf995fb144c5b7eba847d19f.jpg,https://juicycouture.ru/upload/iblock/318/3189e5d5d3a571e16fc412c30bf0608b.jpg,,
"Платье Cotton Silk Voile With Lace","Платье, вдохновленное Викторианской эпохой. Деликатная и тонкая ткань очень приятна на ощупь. Декор из кружевных акцентов и шифоновых оборок еще больше подчеркивает женственность платья.",13920,6960,50%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-cotton-silk-voile-with-lace/,https://juicycouture.ru/upload/iblock/dbd/dbde2d3bfec4aa60a33b06aac381bc13.jpg,https://juicycouture.ru/upload/iblock/7ba/7ba59d453743ccf461f4963b2ff96cc3.jpg,https://juicycouture.ru/upload/iblock/4aa/4aad26a6dc58d7b322546ad85b18b6bb.jpg,,
"Платье Tiki Eyelet",,18000,7200,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-tiki-eyelet/,https://juicycouture.ru/upload/iblock/5c1/5c196d2e4a93b747541e4dde026a6ce1.jpg,https://juicycouture.ru/upload/iblock/1c6/1c6651eb4d090a69812250d3d51fa2d5.jpg,https://juicycouture.ru/upload/iblock/5b4/5b4e1a3bc80d3cff780287770fc8c17d.jpg,,
"Платье Ponte Matisse Floral",,29900,8970,70%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-ponte-matisse-floral/,https://juicycouture.ru/upload/iblock/090/090b415336099ad4401d3dee7ca582fa.jpg,https://juicycouture.ru/upload/iblock/4ee/4ee4bc49049b9884c88764caa511b94b.jpg,https://juicycouture.ru/upload/iblock/af7/af770c90676e80746aaa92c157b58de9.jpg,,
"Платье Silk Del Mar Chevron",,39900,7980,80%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-silk-del-mar-chevron/,https://juicycouture.ru/upload/iblock/c29/c297502af677840b227cb26a4f69ad69.jpg,https://juicycouture.ru/upload/iblock/696/69616dc06ca6a3ee6f7007bec1a46d3b.jpg,https://juicycouture.ru/upload/iblock/8bc/8bcff81573b51263e89d4d41733b1215.jpg,,
"Платье Silk Graphic Floral",,19950,7980,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-silk-graphic-floral/,https://juicycouture.ru/upload/iblock/e34/e344cf15fd6f941a2d17c1b51cec4f0b.jpg,https://juicycouture.ru/upload/iblock/4c2/4c2936e09c0b0c0ddf51e03e86a1def6.jpg,https://juicycouture.ru/upload/iblock/43f/43f2b45071f541a676d8baa4efecb3b7.jpg,,
"Футболка Embellished Palm",,6000,2400,60%,"Одежда > Футболки",,,https://juicycouture.ru/catalog/womens-clothing/t-shirts/futbolka-embellished-palm/,https://juicycouture.ru/upload/iblock/ff7/ff764b82894443798601a01572c7cc05.jpg,https://juicycouture.ru/upload/iblock/eb5/eb5be125c84e7be511c6beb940350197.jpg,https://juicycouture.ru/upload/iblock/262/262fb4f873751e9149c4e54faee5b000.jpg,,
"Шорты Globetrotter Tweed","Шорты из классического твида. Кожаная отделка. Карманы на молнии. Золотая фурнитура.",13900,4865,65%,"Одежда > Шорты",,,https://juicycouture.ru/catalog/womens-clothing/shorts/shorty-globetrotter-tweed/,https://juicycouture.ru/upload/iblock/e65/e65b7d3796e22486fdc463b6cbbec08e.jpg,https://juicycouture.ru/upload/iblock/ffb/ffbe7962b61f913ea5dd2179da248a35.jpg,https://juicycouture.ru/upload/iblock/7fb/7fb3e1026277311d808dc41bd28a3df7.jpg,,
"Пуловер Antibes Tile Embellished",,29900,5980,80%,"Одежда > Толстовки",,,https://juicycouture.ru/catalog/womens-clothing/sweatshirts/pulover-antibes-tile-embellished/,https://juicycouture.ru/upload/iblock/509/50945eb2c1d9086d0e1d9a49a2814d05.jpg,https://juicycouture.ru/upload/iblock/a80/a806b3cdf6ba7f1ad88c8fea870fda84.jpg,https://juicycouture.ru/upload/iblock/8e8/8e8251c7ae8a02fad0f572fd52dac8f5.jpg,,
"Комбинезон Agate Animal Micro Terry","Комбинезон из мягкого и эластичного материала Терри - это отличная альтернатива нашим фирменным велюровым костюмам. Экзотический принт. Сочетание розовой отделки с сексуальным вырезом демонстрирует ту часть тела, которая обычно скрыта - спину. ",29900,11960,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-agate-animal-micro-terry/,https://juicycouture.ru/upload/iblock/aab/aab677744b7d8741e81f5a46a1c7d6cf.jpg,https://juicycouture.ru/upload/iblock/073/073516acef84be2b41031a947b04f237.jpg,https://juicycouture.ru/upload/iblock/adf/adfda65617b06fa2b4eb5b144a5f8679.jpg,,
"Комбинезон Indigo Chambray","Воздушный и легкий комбинезон с продуманными деталями делают наряд универсальным. V-образный вырез на спине. ",39900,15960,60%,"Одежда > Комбинезоны",,,https://juicycouture.ru/catalog/womens-clothing/overalls/kombinezon-indigo-chambray/,https://juicycouture.ru/upload/iblock/5a8/5a8f043a0e9dadec23274bdaede2edf9.jpg,https://juicycouture.ru/upload/iblock/b36/b36a4110d75125b7d783560891b56559.jpg,https://juicycouture.ru/upload/iblock/7d8/7d8f1fb33e7bbaef157eee17023a1104.jpg,,
"Комбинезон Forever Palms Silk And Lace","Шелковый комбинезон для сна с дерзким принтом в виде пальм.",15840,4752,70%,"Одежда > Одежда для дома и сна",,,https://juicycouture.ru/catalog/womens-clothing/clothing-and-home-sleep/kombinezon-forever-palms-silk-and-lace/,https://juicycouture.ru/upload/iblock/9df/9dfcafa443c1689b243a6bb7e2dee0c5.jpg,https://juicycouture.ru/upload/iblock/c3a/c3a119d2cba59d4010f8c22262d6bfde.jpg,https://juicycouture.ru/upload/iblock/235/23532ac6239fad26255f24d2b11f511e.jpg,,
"Платье Overprinted Pleated","Платье-плиссе в ретро стиле.",13040,5216,60%,"Одежда > Платья",,,https://juicycouture.ru/catalog/womens-clothing/dresses/plate-overprinted-pleated/,https://juicycouture.ru/upload/iblock/517/51726cbd52c4147f74b8807295909fd6.jpg,https://juicycouture.ru/upload/iblock/f0a/f0a1327a50ec620acb5eb6a07c55c2d9.jpg,https://juicycouture.ru/upload/iblock/918/9189d43e86dcbebadc15d934f7abdb7d.jpg,,
"Брюки Джинсовые Core Skinny",,15015,6006,60%,"Одежда > Деним",,,https://juicycouture.ru/catalog/womens-clothing/denim/bryuki-dzhinsovye-core-skinny-1/,https://juicycouture.ru/upload/iblock/066/0669153ac561045a86770de180e543b8.jpg,https://juicycouture.ru/upload/iblock/14d/14d04308b98e396265b6250d1296b9f4.jpg,https://juicycouture.ru/upload/iblock/d1f/d1f8376127b36e256f07180a67abf341.jpg,,
"Сумка Brentwood","Вы полюбите эту компактную, но вместительную сумку за ее функциональность. Вы можете бесконечно разнообразить свои образы, держа сумку в руках или на плече. Внутренний карман на молнии идеально сохранит под рукой все необходимые мелочи, а сияющая фурнитура дополнит Ваш образ фирменной роскошью Juicy Couture.",21990,6597,70%,"Аксессуары > Сумки > Сумки",,,https://juicycouture.ru/catalog/jewelry-and-accessories/bags/handbags/sumka-brentwood-2/,https://juicycouture.ru/upload/iblock/74d/74dcf87da0daefe4c12961a1978cb977.jpg,https://juicycouture.ru/upload/iblock/91b/91b953df1fbe27070a1aece0cf454e0d.jpg,https://juicycouture.ru/upload/iblock/d1a/d1ab85b948bb8d9ee837694a54c0503e.jpg,,
"Колье Pave Ball Large Chain","Толстая цепь добавляет некий heavy metal этому ультра гламурному украшению. Колье декорировано шариками, инкрустированными кристаллами. Под золото.   ",11310,3959,65%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/kole-pave-ball-large-chain/,https://juicycouture.ru/upload/iblock/a8e/a8e8ecf6c5737e6e781492c94e487e27.jpg,https://juicycouture.ru/upload/iblock/b12/b12db394115fffea9622e06b9058a6f2.jpg,https://juicycouture.ru/upload/iblock/f9e/f9e154e446f25c85acf9e3c1b0a63170.jpg,,
"Колье Pave Octagon And Chain","Толстая цепочка, тонированная под розовое золото, разбавлена акцентами из восьмиугольников, декорированных кристаллами. Застежка в виде кольца и скипетра.",8240,2472,70%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/kole-pave-octagon-and-chain/,https://juicycouture.ru/upload/iblock/1d9/1d93d7e726c05a2829ee6a9107912834.jpg,https://juicycouture.ru/upload/iblock/f80/f8050fa3c7f420024e7be229e06e9e39.jpg,https://juicycouture.ru/upload/iblock/bdf/bdf71032741b8b94f6b4cb857192a70a.jpg,,
"Брелок Gold Medallion","Классический брелок Juicy Couture в виде медальона. Разъемное кольцо для ключей в форме сердца.",5900,2950,50%,"Аксессуары > Аксессуары",,,https://juicycouture.ru/catalog/jewelry-and-accessories/accessories/brelok-gold-medallion/,https://juicycouture.ru/upload/iblock/ac7/ac794a562e4c76110d412d802891382e.jpg,,,,
"Колье Multi Charm Leather & Chain","Множество индивидуальных подвесок украшает цепочку ожерелья, переплетенную контрастным ремешком. Регулируемая застежка-карабин.",14950,7475,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/kole-multi-charm-leather-chain/,https://juicycouture.ru/upload/iblock/279/279a09c2f48ea059b2c6e3191cea7d69.jpg,https://juicycouture.ru/upload/iblock/8d0/8d0c8999277f2d3bcec823345f37db63.jpg,https://juicycouture.ru/upload/iblock/c57/c57671027746cff5f063c6f2419d1abc.jpg,,
"Кольцо Pave Lips","Кольцо ""губки"".",4000,1200,70%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/koltso-pave-lips/,https://juicycouture.ru/upload/iblock/fc9/fc9f5d45f95ca870b3072ca97432684d.jpg,,,,
"Кольцо Kitty","Кольцо ""котёнок"".",3900,1170,70%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/koltso-kitty/,https://juicycouture.ru/upload/iblock/cfe/cfea00252eaf55e026662f3d4ff8c1c8.jpg,,,,
"Набор колец Stackable Ring Set","Набор из 3-х колец: кольцо с жемчужинами, кольцо с кристаллами и кольцо с шипами - каждое придает свой особый эффект этому стильному комплекту. Зачем покупать их по отдельности, когда можно одеть их все вместе?",6300,1890,70%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/nabor-kolets-stackable-ring-set/,https://juicycouture.ru/upload/iblock/67b/67b149ad5250921ef0f6f7090acc3c70.jpg,,,,
"Набор колец Royal Punk","Набор из 2-х колец: кольцо с камнем огранки ""сердце"" и короной в обрамлении кристаллов настраивает на романтический лад! А кольцо в виде согнутой булавки с жемчужиной сделает образ более стильным.",6400,3200,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/nabor-kolets-royal-punk/,https://juicycouture.ru/upload/iblock/555/555cfd698f52665a03be4bef622e413b.jpg,,,,
"Набор колец Royal Punk","Набор из 2-х колец: кольцо с камнем огранки ""сердце"" и короной в обрамлении кристаллов настраивает на романтический лад! А кольцо в виде согнутой булавки с жемчужиной сделает образ более стильным.",6400,3200,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/nabor-kolets-royal-punk-1/,https://juicycouture.ru/upload/iblock/464/4642cad59c74a3b86550a887f10bccc1.jpg,,,,
"Набор колец Royal Punk","Набор из 2-х колец: кольцо с камнем огранки ""сердце"" и короной в обрамлении кристаллов настраивает на романтический лад! А кольцо в виде согнутой булавки с жемчужиной сделает образ более стильным.",6400,3200,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/nabor-kolets-royal-punk-2/,https://juicycouture.ru/upload/iblock/0bc/0bca50398bbecbf35ca879f22dabf177.jpg,,,,
"Кольцо Estate Jewels Double Finger","Это эффектное кольцо на два пальца придаст артистичный вид любому образу. Камень-капля (огранка ""Груша"") создает иллюзию более длинных, изящных пальцев. Синий камень огранки ""принцесса"" квадратной формы славится щедрой игрой света. Жемчужина в обрамлении кристаллов придает женственность образу.",7520,3760,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/koltso-estate-jewels-double-finger/,https://juicycouture.ru/upload/iblock/c77/c772c91f87bc4d92052e2d5a5e12ca01.jpg,,,,
"Кольцо Triple Finger Icon","3-пальцевое кольцо Triple Finger icon. Два скрепленных между собой кольца подчеркнуты 3 отдельными акцентами: монетой, декорированной короной, звездой, инкрустированной кристаллами и искусственной жемчужиной.",7840,3920,50%,"Аксессуары > Украшения",,,https://juicycouture.ru/catalog/jewelry-and-accessories/ornamentation/koltso-triple-finger-icon/,https://juicycouture.ru/upload/iblock/21e/21e847084a9f631da27f0f41c70375f8.jpg,,,,
